,count,unique,top,freq,mean,std,min,25%,50%,75%,max
q1,22768,147,Ecuador,3201,,,,,,,
q2,22768.0,,,,1.6202125790583275,0.5511950373642491,1.0,1.0,2.0,2.0,4.0
q3,22768.0,,,,27.285488404778636,91.00168145358839,2.0,20.0,21.0,23.0,2006.0
q4,22768,107,Ecuador,2000,,,,,,,
q5,22768,8654,Escuela Superior Politécnica del Litoral,569,,,,,,,
q6,22768.0,,,,1.2160049191848208,0.4115267091327683,1.0,1.0,1.0,1.0,2.0
q7,22768.0,,,,1.1464335910049193,0.3535481359429872,1.0,1.0,1.0,1.0,2.0
q8,22768.0,,,,1.204717146872804,0.49198849637477304,1.0,1.0,1.0,1.0,3.0
q9,22768.0,,,,1.6681746310611385,0.47087899932509014,1.0,1.0,2.0,2.0,2.0
q10,22768.0,,,,2.4601633872101196,0.851825006351618,1.0,2.0,2.0,3.0,4.0
q11,22768.0,,,,1.9591971187631765,0.9491645510129837,1.0,1.0,2.0,3.0,3.0
q12,22768.0,,,,3.3115776528460996,1.0667054034460584,1.0,3.0,3.0,4.0,5.0
q13,22768.0,,,,1.2769237526352777,0.4474883047805665,1.0,1.0,1.0,2.0,2.0
q14,22768.0,,,,1.134618763176388,0.47783908632685046,1.0,1.0,1.0,1.0,3.0
q15,22768.0,,,,2.334284961349262,0.9426092486738371,1.0,2.0,2.0,3.0,5.0
q16,22768.0,,,,3.8648541813070976,0.6489212565491267,1.0,4.0,4.0,4.0,5.0
q17,22768.0,,,,2.839906886858749,0.8824098771116212,1.0,2.0,3.0,3.0,4.0
q18a,22768.0,,,,2.747935699226985,0.9407352343378,1.0,2.0,3.0,3.0,5.0
q18b,22768.0,,,,1.973164089950808,0.9625710084581101,1.0,1.0,2.0,2.0,5.0
q18c,22768.0,,,,1.6401528460997892,1.0333476919069706,1.0,1.0,1.0,2.0,5.0
q18d,22768.0,,,,2.187895291637386,1.0527065002359843,1.0,1.0,2.0,3.0,5.0
q18e,22768.0,,,,2.832967322557976,1.0218282358756785,1.0,2.0,3.0,3.0,5.0
q18f,22768.0,,,,2.1581605762473646,1.0781690246774156,1.0,1.0,2.0,3.0,5.0
q18g,22768.0,,,,2.7562368236120873,1.0636425423729454,1.0,2.0,3.0,3.0,5.0
q18h,22768.0,,,,1.9984188334504567,0.9750690066389313,1.0,1.0,2.0,2.0,5.0
q18i,22768.0,,,,2.2445098383696416,1.0829320622065193,1.0,1.0,2.0,3.0,5.0
q18j,22768.0,,,,2.229137385804638,1.0547366376949265,1.0,1.0,2.0,3.0,5.0
q18k,22768.0,,,,2.746047083626142,1.033918640829116,1.0,2.0,3.0,3.0,5.0
q18l,22768.0,,,,1.7672610681658467,1.221390953970811,1.0,1.0,1.0,2.0,5.0
q19a,22768.0,,,,3.720221363316936,0.7303391464112013,1.0,3.0,4.0,4.0,5.0
q19b,22768.0,,,,3.7289177793394237,0.7675525598564986,1.0,3.0,4.0,4.0,5.0
q19c,22768.0,,,,3.2512297962052004,0.8099874428961871,1.0,3.0,3.0,4.0,5.0
q19d,22768.0,,,,3.784741742796908,0.7125064555346374,1.0,4.0,4.0,4.0,5.0
q19e,22768.0,,,,3.1906184118060437,0.7620920529241428,1.0,3.0,3.0,4.0,5.0
q19f,22768.0,,,,3.8503601546029516,0.7009201215935787,1.0,4.0,4.0,4.0,5.0
q19g,22768.0,,,,3.858705200281096,0.7019620185655343,1.0,4.0,4.0,4.0,5.0
q19h,22768.0,,,,3.1614107519325367,0.8292489749531966,1.0,3.0,3.0,4.0,5.0
q19i,22768.0,,,,3.71767392832045,0.792229801666292,1.0,3.0,4.0,4.0,5.0
q19j,22768.0,,,,3.662947997189037,0.8039046596059926,1.0,3.0,4.0,4.0,5.0
q20,22768.0,,,,2.5633345045678144,0.7461905021441271,1.0,2.0,3.0,3.0,3.0
q21a,22768.0,,,,3.2055077301475756,0.8602797385505564,1.0,3.0,3.0,4.0,5.0
q21b,22768.0,,,,3.089906886858749,0.8846842182700786,1.0,3.0,3.0,3.0,5.0
q21c,22768.0,,,,3.6433151791988756,0.8809378043983909,1.0,3.0,4.0,4.0,5.0
q21d,22768.0,,,,3.2117445537596625,0.8435425799916686,1.0,3.0,3.0,4.0,5.0
q22a,22768.0,,,,2.949973647224174,0.8955172074482777,1.0,3.0,3.0,3.0,5.0
q22b,22768.0,,,,3.095924104005622,0.9838262871787632,1.0,3.0,3.0,4.0,5.0
q22c,22768.0,,,,3.0868763176387914,0.9720962764648611,1.0,3.0,3.0,4.0,5.0
q22d,22768.0,,,,3.002986647926915,0.9172221528650363,1.0,3.0,3.0,3.0,5.0
q22e,22768.0,,,,3.1397575544624035,0.9114453925216935,1.0,3.0,3.0,4.0,5.0
